Distrito Federal
Aguascalientes
Baja California
Baja California Sur
Campeche
Chiapas
Chihuahua
Coahuila de Zaragoza
Colima
Durango
Guanajuato
Guerrero
Estado de Hidalgo
Jalisco
Estado de México
Michoacán de Ocampo
Morelos
Nayarit
Nuevo León
Oaxaca
Puebla
Querétaro
Quintana Roo
San Luis Potosí
Sinaloa
Sonora
Tabasco
Tamaulipas
Tlaxcala
Veracruz de Ignacio de la Llave
Yucatán
Zacatecas
