"Abonos","directorio_verde","","plain_text","0","",""
"Accesorios","directorio_verde","","plain_text","0","",""
"Accesorios jardinería","directorio_verde","","plain_text","0","",""
"Accesorios y herramientas","directorio_verde","","plain_text","0","",""
"Accesorios y mantenimiento","directorio_verde","","plain_text","0","",""
"Accesorios y utensilios","directorio_verde","","plain_text","0","",""
"Aceites","directorio_verde","","plain_text","0","",""
"Aceites y esencias","directorio_verde","","plain_text","0","",""
"Aceites y lubricantes","directorio_verde","","plain_text","0","",""
"Aceites, salsas y condimentos","directorio_verde","","plain_text","0","",""
"Aceites, salsas y condimentos","directorio_verde","","plain_text","0","",""
"Acuarioterapia","directorio_verde","","plain_text","0","",""
"Acupuntura","directorio_verde","","plain_text","0","",""
"Adiestramiento","directorio_verde","","plain_text","0","",""
"Africano","directorio_verde","","plain_text","0","",""
"Agendas y calendarios","directorio_verde","","plain_text","0","",""
"Agroturismo","directorio_verde","","plain_text","0","",""
"Agroturismo","directorio_verde","","plain_text","0","",""
"Agua para el riego","directorio_verde","","plain_text","0","",""
"Ahorro","directorio_verde","","plain_text","0","",""
"Ahorro y captación de agua","directorio_verde","","plain_text","0","",""
"Aislamiento y climatización","directorio_verde","","plain_text","0","",""
"Ala delta","directorio_verde","","plain_text","0","",""
"Albergues","directorio_verde","","plain_text","0","",""
"Alemán","directorio_verde","","plain_text","0","",""
"Algas","directorio_verde","","plain_text","0","",""
"Algas","directorio_verde","","plain_text","0","",""
"Alimentación","directorio_verde","","plain_text","0","","97"
"Alimentación","directorio_verde","","plain_text","0","",""
"Alimentación","directorio_verde","","plain_text","0","",""
"Alimentación infantil","directorio_verde","","plain_text","0","",""
"Alimentación infantil","directorio_verde","","plain_text","0","",""
"Almacenes y trasteros","directorio_verde","","plain_text","0","",""
"Alpinismo y escalada","directorio_verde","","plain_text","0","",""
"Alquiler de espacios y oficinas","directorio_verde","","plain_text","0","",""
"Alquiler de superficies","directorio_verde","","plain_text","0","",""
"Alquiler verde","directorio_verde","","plain_text","0","",""
"Americano","directorio_verde","","plain_text","0","",""
"Andorrano","directorio_verde","","plain_text","0","",""
"Animales","directorio_verde","","plain_text","0","",""
