Arica y Parinacota
Tarapacá
Antofagasta
Atacama
Coquimbo
Valparaíso
Metropolitana de Santiago
Libertador General Bernardo O'Higgins
Maule
Biobío
La Araucanía
Los Ríos
Los Lagos
Aysén del General Carlos Ibáñez del Campo
Magallanes y Antártica Chilena
