ali_tie|Aceites, salsas y condimentos
ali_tie|Algas
ali_tie|Alimentación infantil
ali_tie|Aperitivos, encurtidos y snacks
ali_tie|Arroz, legumbres secas y pastas
ali_tie|Bebicas alcohólicas
ali_tie|Bebidas, zumos y refrescos.
ali_tie|Café, té e infusiones
ali_tie|Carne, huevos y embutidos
ali_tie|Chocolates y dulces
ali_tie|Complementos nutricionales
ali_tie|Conservas y preparados
ali_tie|Frutas, verduras y hortalizas
ali_tie|Frutos secos
ali_tie|Lácteos
ali_tie|Mantequillas y mermeladas
ali_tie|Pan, harinas, cereales y semillas
ali_tie|Pastelería - Bollería
ali_tie|Pescados y mariscos
ali_tie|Soja y derivados
ali_tie|Vending
ali_tie|Otros

ali_res|Africano
ali_res|Alemán
ali_res|Americano
ali_res|Andorrano
ali_res|Árabe
ali_res|Argentino
ali_res|Asiática
ali_res|Autor
ali_res|Belga
ali_res|Bodas y comuniones
ali_res|Boliviano
ali_res|Brasileño
ali_res|Cafetería - Tetería
ali_res|Cantonés
ali_res|Catalán
ali_res|Celiacos
ali_res|Chileno
ali_res|Chino
ali_res|Colombiano
ali_res|Comida rápida
ali_res|Coreano
ali_res|Costarricense
ali_res|Creativa / Fusión
ali_res|Cubano
ali_res|Dominicano
ali_res|Ecuatoriano
ali_res|Español
ali_res|Etíope
ali_res|Fiestas y eventos
ali_res|Filipino
ali_res|Francés
ali_res|Gallego
ali_res|Griego
ali_res|Guatemalteco
ali_res|Hindú
ali_res|Hondureño
ali_res|Inglés
ali_res|Italiano
ali_res|Japonés
ali_res|Kilómetro cero
ali_res|Mediterránea
ali_res|Mexicano
ali_res|Nicaraguense
ali_res|Pakistaní
ali_res|Panameño
ali_res|Paraguayo
ali_res|Peruano
ali_res|Portugués
ali_res|Puertorricense
ali_res|Ruso
ali_res|Salvadoreño
ali_res|Servicios de catering
ali_res|Tradicional
ali_res|Uruguayo
ali_res|Vasco
ali_res|Vegetaríano
ali_res|Venezolano
ali_res|Otros

ali_pro|Aceites, salsas y condimentos
ali_pro|Algas
ali_pro|Alimentación infantil
ali_pro|Aperitivos, encurtidos y snacks
ali_pro|Arroz, legumbres secas y pastas
ali_pro|Bebicas alcohólicas
ali_pro|Bebidas, zumos y refrescos.
ali_pro|Café, té e infusiones
ali_pro|Carne, huevos y embutidos
ali_pro|Chocolates y dulces
ali_pro|Complementos nutricionales
ali_pro|Conservas y preparados
ali_pro|Frutas, verduras y hortalizas
ali_pro|Frutos secos
ali_pro|Lácteos
ali_pro|Mantequillas y mermeladas
ali_pro|Pan, harinas, cereales y semillas
ali_pro|Pastelería - Bollería
ali_pro|Pescado y marisco
ali_pro|Soja y derivados
ali_pro|Vending
ali_pro|Otros

ali_fer|Feria de alimentación
ali_fer|Mercados periódicos
ali_fer|Mercados permanentes

ali_gru|Buscadores y comunidades
ali_gru|Centros de acopio
ali_gru|Grupos de consumo

hog_arq|Ahorro y captación de agua
hog_arq|Aislamiento y climatización
hog_arq|Arquitectos e ingenieros
hog_arq|Bricolaje y albañilería
hog_arq|Casas de madera
hog_arq|Casas ecológicas
hog_arq|Casas prefabricadas
hog_arq|Marcos y ventanas
hog_arq|Pinturas y barnices
hog_arq|Rehabilitación de edificios
hog_arq|Saneamiento
hog_arq|Otros

hog_ene|Biocarburantes
hog_ene|Biomasa
hog_ene|Calderas - Calefacción
hog_ene|Climatización - A/C
hog_ene|Eficiencia y ahorro energético
hog_ene|Energía eólica
hog_ene|Energía geotérmica
hog_ene|Energía solar - fotovoltaica
hog_ene|Energía termosolar
hog_ene|Iluminación
hog_ene|Hidroelectricidad
hog_ene|Productores y distribuidores de energía verde
hog_ene|Otros

hog_hog|Arte y decoración
hog_hog|Baños
hog_hog|Cocina
hog_hog|Dormitorio
hog_hog|Limpieza y saneamiento
hog_hog|Menaje
hog_hog|Mobiliario
hog_hog|Salón
hog_hog|Telas y cortinas
hog_hog|Toldos y persianas
hog_hog|Otros


hue_acc|Accesorios jardinería
hue_acc|Compostadores
hue_acc|Herramientas jardinería
hue_acc|Limpieza
hue_acc|Maquinaria agrícola
hue_acc|Maquinaria jardinería
hue_acc|Otros

hue_alq|Huertos colectivos
hue_alq|Huertos rurales
hue_alq|Huertos urbanos
hue_alq|Otros

hue_bul|Bulbos comestibles
hue_bul|Bulbos de flores
hue_bul|Bulbos de otoño
hue_bul|Bulbos de primavera
hue_bul|Bulbos todo el año
hue_bul|Semillas aromáticas
hue_bul|Semillas brotes y germinados
hue_bul|Semillas de césped - hierbas
hue_bul|Semillas de flores
hue_bul|Semillas hortícolas
hue_bul|Semillas de plantas y árboles
hue_bul|Semilleros
hue_bul|Otros

hue_cre|Abonos
hue_cre|Fertilizantes
hue_cre|Saneamiento
hue_cre|Sustratos
hue_cre|Trampas
hue_cre|Tratamientos
hue_cre|Otros

hue_est|Apicultura
hue_est|Casetas, armarios y arcones
hue_est|Invernaderos
hue_est|Macetas y jardineras
hue_est|Mesas de cultivo
hue_est|Sistemas de filtración de agua
hue_est|Sistemas de iluminación
hue_est|Sistemas de riego
hue_est|Viveros
hue_est|Otros

hue_flo|Árboles y plantas
hue_flo|Bodas y comuniones
hue_flo|Flores de temporada
hue_flo|Floristería
hue_flo|Frutales
hue_flo|Plantas de temporada
hue_flo|Otros

hue_mob|Arte y decoración
hue_mob|Iluminación jardín
hue_mob|Mallas y telas
hue_mob|Mobiliario jardín
hue_mob|Piscinas
hue_mob|Toldos y pérgolas
hue_mob|Otros

tra_acc|Aceites y lubricantes
